model_id,benchmark_id,contrast,side,protocol,common_complete_tasks,repair,repair_rate,regression,regression_rate,functional_preservation,unrepaired_failure
qwen2.5-coder-14b-instruct,mbpp_plus,dr:sc_dr,multi_call,dr,377,3,0.03333333333333333,0,0.0,287,87
qwen2.5-coder-14b-instruct,mbpp_plus,dr:sc_dr,single_call,sc_dr,377,4,0.044444444444444446,0,0.0,287,86
qwen2.5-coder-14b-instruct,mbpp_plus,dcr:sc_dcr,multi_call,dcr,377,11,0.12222222222222222,2,0.006968641114982578,285,79
qwen2.5-coder-14b-instruct,mbpp_plus,dcr:sc_dcr,single_call,sc_dcr,377,3,0.03333333333333333,1,0.003484320557491289,286,87
qwen2.5-coder-14b-instruct,mbpp_plus,dcpr:sc_dcpr,multi_call,dcpr,377,9,0.1,2,0.006968641114982578,285,81
qwen2.5-coder-14b-instruct,mbpp_plus,dcpr:sc_dcpr,single_call,sc_dcpr,377,5,0.05555555555555555,0,0.0,287,85
qwen2.5-coder-7b-instruct,bigcodebench_instruct,cr:sc_cr,multi_call,cr,1127,25,0.03759398496240601,15,0.032467532467532464,447,640
qwen2.5-coder-7b-instruct,bigcodebench_instruct,cr:sc_cr,single_call,sc_cr,1127,14,0.021052631578947368,5,0.010822510822510822,457,651
qwen2.5-coder-7b-instruct,bigcodebench_instruct,cpr:sc_cpr,multi_call,cpr,1136,21,0.03134328358208955,17,0.03648068669527897,449,649
qwen2.5-coder-7b-instruct,bigcodebench_instruct,cpr:sc_cpr,single_call,sc_cpr,1136,12,0.01791044776119403,1,0.002145922746781116,465,658
qwen2.5-coder-7b-instruct,bigcodebench_instruct,dr:sc_dr,multi_call,dr,1136,5,0.007462686567164179,0,0.0,466,665
qwen2.5-coder-7b-instruct,bigcodebench_instruct,dr:sc_dr,single_call,sc_dr,1136,12,0.01791044776119403,4,0.008583690987124463,462,658
qwen2.5-coder-7b-instruct,bigcodebench_instruct,dcr:sc_dcr,multi_call,dcr,1136,11,0.016417910447761194,5,0.01072961373390558,461,659
qwen2.5-coder-7b-instruct,bigcodebench_instruct,dcr:sc_dcr,single_call,sc_dcr,1136,11,0.016417910447761194,2,0.004291845493562232,464,659
qwen2.5-coder-7b-instruct,bigcodebench_instruct,dcpr:sc_dcpr,multi_call,dcpr,1135,9,0.013432835820895522,4,0.008602150537634409,461,661
qwen2.5-coder-7b-instruct,bigcodebench_instruct,dcpr:sc_dcpr,single_call,sc_dcpr,1135,16,0.023880597014925373,10,0.021505376344086023,455,654
qwen2.5-coder-7b-instruct,humaneval_plus,cr:sc_cr,multi_call,cr,161,3,0.14285714285714285,8,0.05714285714285714,132,18
qwen2.5-coder-7b-instruct,humaneval_plus,cr:sc_cr,single_call,sc_cr,161,1,0.047619047619047616,2,0.014285714285714285,138,20
qwen2.5-coder-7b-instruct,humaneval_plus,cpr:sc_cpr,multi_call,cpr,161,2,0.09523809523809523,7,0.05,133,19
qwen2.5-coder-7b-instruct,humaneval_plus,cpr:sc_cpr,single_call,sc_cpr,161,1,0.047619047619047616,2,0.014285714285714285,138,20
qwen2.5-coder-7b-instruct,humaneval_plus,dr:sc_dr,multi_call,dr,161,1,0.047619047619047616,0,0.0,140,20
qwen2.5-coder-7b-instruct,humaneval_plus,dr:sc_dr,single_call,sc_dr,161,1,0.047619047619047616,0,0.0,140,20
qwen2.5-coder-7b-instruct,humaneval_plus,dcr:sc_dcr,multi_call,dcr,160,2,0.09523809523809523,2,0.014388489208633094,137,19
qwen2.5-coder-7b-instruct,humaneval_plus,dcr:sc_dcr,single_call,sc_dcr,160,1,0.047619047619047616,0,0.0,139,20
qwen2.5-coder-7b-instruct,humaneval_plus,dcpr:sc_dcpr,multi_call,dcpr,161,2,0.09523809523809523,2,0.014285714285714285,138,19
qwen2.5-coder-7b-instruct,humaneval_plus,dcpr:sc_dcpr,single_call,sc_dcpr,161,2,0.09523809523809523,2,0.014285714285714285,138,19
qwen2.5-coder-7b-instruct,mbpp_plus,cr:sc_cr,multi_call,cr,374,5,0.052083333333333336,6,0.02158273381294964,272,91
qwen2.5-coder-7b-instruct,mbpp_plus,cr:sc_cr,single_call,sc_cr,374,1,0.010416666666666666,2,0.007194244604316547,276,95
qwen2.5-coder-7b-instruct,mbpp_plus,cpr:sc_cpr,multi_call,cpr,374,5,0.052083333333333336,8,0.02877697841726619,270,91
qwen2.5-coder-7b-instruct,mbpp_plus,cpr:sc_cpr,single_call,sc_cpr,374,1,0.010416666666666666,2,0.007194244604316547,276,95
qwen2.5-coder-7b-instruct,mbpp_plus,dr:sc_dr,multi_call,dr,375,1,0.010309278350515464,0,0.0,278,96
qwen2.5-coder-7b-instruct,mbpp_plus,dr:sc_dr,single_call,sc_dr,375,2,0.020618556701030927,1,0.0035971223021582736,277,95
qwen2.5-coder-7b-instruct,mbpp_plus,dcr:sc_dcr,multi_call,dcr,374,4,0.041666666666666664,3,0.01079136690647482,275,92
